ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID,Original_Concept
hacer,*hacer,813,DO,1,hacer
cargar,*cargar,700,CARRY,1,cargar
muela,*muela,1049,MOLAR TOOTH,1,muela
persuadir,*persuadir,3645,PERSUADE,1,persuadir
quedarsetenerestar,"*quedarse,*tener,*estar",,,1,"quedarse,tener,estar"
terminaracabar,"*terminar,*acabar",1766,FINISH,1,"terminar,acabar"
transitivizingsuffix,*transitivizing suffix,,,2,transitivizing suffix
simpleinterrogante,*simple interrogante,,,3,simple interrogante
que,*qué?,1236,WHAT,3,qué?
cosa,*cosa,738,THING,3,cosa
quien,*quién,1235,WHO,3,quién
conque,*con qué?,,,3,con qué?
paraque,*para qué?,,,3,para qué?
dequien,*de quién,,,3,de quién
interrogacion,*interrogación,,,3,interrogación
barbasco,*barbasco,348,FISH POISON,4,barbasco
pampa,*pampa,652,PLAIN,5,pampa
teta,*teta,1402,BREAST,6,teta
chontaloro,*chontaloro,,,7,chontaloro
arbol,*árbol,906,TREE,8,árbol
negativesuffix,*negative suffix,,,9,negative suffix
motacucillo,*motacucillo,,,10,motacucillo
sangre,*sangre,946,BLOOD,11,sangre
lengua,*lengua,1205,TONGUE,12,lengua
palosanto,*palo santo,,,13,palo santo
mujer,*mujer,962,WOMAN,14,mujer
gualusa,*gualusa,,,15,gualusa
obscuro,*obscuro,1764,OBSCURE,16,obscuro
creceragrandar,"*crecer,agrandar",,,17,"crecer,agrandar"
hombro,*hombro,1482,SHOULDER,18,hombro
grillo,*grillo,2354,CRICKET,19,grillo
alacran,*alacrán,1538,SCORPION,20,alacrán
amigo,*amigo,1325,FRIEND,21,amigo
abeja,*abeja,665,BEE,22,abeja
mundo,*mundo,965,WORLD,23,mundo
tapir,*tapir,312,TAPIR,24,tapir
marido,*marido,1200,HUSBAND,25,marido
sucio,*sucio,1230,DIRTY,26,sucio
mirarver,"*mirar,ver",1409,SEE,27,"mirar,ver"
mostrar,*mostrar,1039,SHOW,27,mostrar
parecido,*parecido,1558,SIMILAR,27,parecido
saber,*saber,1410,KNOW (SOMETHING),27,saber
lago,*lago,624,LAKE,28,lago
rociosereno,"*rocío,sereno",1977,DEW,28,"rocío,sereno"
codo,*codo,981,ELBOW,29,codo
brazo,*brazo,1673,ARM,29,brazo
espalda,*espalda,1291,BACK,29,espalda
frio,*frío,1287,COLD,30,frío
cielo,*cielo,1732,SKY,31,cielo
largo,*largo,1203,LONG,31,largo
ajoajo,*ajoajo,,,32,ajoajo
abuelo,*abuelo,1383,GRANDFATHER,33,abuelo
cedro,*cedro,,,34,cedro
colgar,*colgar,357,HANG UP,36,colgar
luna,*luna,1313,MOON,37,luna
desidia,*desidia,,,38,desidia
