GLOSS	PROTO_ID	PROTO_CONCEPT
face	77	*cara
faccia	77	*cara
eyebrow	77	*cara
pluma	77	*cara
pozo en el río,remanso	78	*abajo
tropezar	78	*abajo
bajada,puerto	78	*bajar
inclínate,encúrbate	78	*bajar
sit down	78	*bajar
sits	78	*bajar
puerto	78	*bajar
sentar,aterrizar	78	*bajar
sobrino/a (hijo/a de hermano de madre)	79	*sobrino/a
sobrina	79	*sobrino/a
sobrino	79	*sobrino/a
melero (animal)	80	*melero
tucandera (hormiga grande qui pica fuerte)	81	*tucandera
perdiz del monte	82	*perdiz
perdiz azul (grande)	82	*perdiz
bird	82	*perdiz
uccello	82	*perdiz
perdiz grande	82	*perdiz
perotó (árbol)	83	*guayaba (árbol)
bien risueño	84	*risueño
partir,reventar	84	*risueño
gozo,gozoso	84	*risueño
gozar	84	*risueño
ansia,ansiar	84	*risueño
especie de sapo	85	*rana,sapo
víbora sapo	85	*rana,sapo
frog	85	*rana,sapo
víbora (yoperojobobo)	85	*rana,sapo
pus,materia	86	*pus,materia
materia,pus	86	*pus,materia
disentería	86	*pus,materia
apostema	86	*pus,materia
pus	86	*pus,materia
cane	87	*chuchio,charo,caña brava
caña	87	*chuchio,charo,caña brava
chuchio,charo	87	*chuchio,charo,caña brava
caña brava	87	*chuchio,charo,caña brava
puma (de flecha),floración	88	*floración
urupé,cedazo hecho de hojas de palma torcidas	88	*floración
intestinos (toda la tripa)	88	*floración
mapaju,algodon silvestre (árbol con seda vegetal)	88	*floración
piña	88	*floración
afrecha,chala,jachi	88	*floración
florecer	88	*floración
hair	88	*floración
dar guasca,florecer	88	*floración
atoakaka (una fruta del monte)	88	*floración
guayaba	88	*floración
mapajo (árbol)	88	*floración
jachi	88	*floración
una fruta	88	*floración
tutumá,mate	88	*floración
surco	88	*cabello
cappelli	88	*cabello
peludo,velludo	88	*cabello
cabello,pello	88	*cabello
empelar	88	*cabello
quedeja	88	*cabello
crencha	88	*cabello
cabello corto	88	*cabello
mojer	89	*mojar
mojado	89	*mojar
rozar,chaquear	89	*mojar
chilchiar (lloviznar)	89	*mojar
reír,sonreír	90	*reír
están enamorados	90	*reír
sonrisa	90	*reír
reirse	90	*reír
asustarse	90	*reír
feliz	90	*reír
rire	90	*reír
orilla,borde,canto	91	*orilla
alborde del río	91	*orilla
yo necesito	92	*necesito
no necesito	92	*necesito
querer,yo necesito	92	*necesito
está buscando una cosa que necesita	92	*necesito
necesidad	92	*necesito
buscar	92	*necesito
pié y tobillo,canilla,pié o tronco de un árbol,pata de un animal	93	*pie,pierna
vuélcalo	93	*pie,pierna
al ras	93	*pie,pierna
root	93	*pie,pierna
pierna	93	*pie,pierna
entrepiernas	93	*pie,pierna
raíz	93	*pie,pierna
raíz (of a tree)	93	*pie,pierna
seso,médula	94	*cabeza
seso	94	*cabeza
almohada	94	*cabeza
calavera	94	*cabeza
calvo	94	*cabeza
rubio	94	*cabeza
dandruff	94	*cabeza
unta de tacuara de flecha	95	*punta de flecha hecha de tacuara raspada
flèche à pointe de caña brava	95	*punta de flecha hecha de tacuara raspada
tuétano	96	*hueso
bone	96	*hueso
